"보고 시작","보고 종료","광고 이름","Instagram 팔로우",노출,클릭(전체),CTR(전체),시작,종료,"계정 이름","계정 ID","광고 세트 이름","광고 세트 ID","광고 ID","캠페인 이름","캠페인 ID"
2025-12-29,2026-06-28,"S1-1 유럽여행 소매치기, 갤럭시는 안전하다고?",0,7482,248,3.314622,2026-01-06,2026-01-12,따르릉통신,1405475181306250,"S1-1 유럽여행 소매치기, 갤럭시는 안전하다고?",120239321296740136,120239321296730136,"[디파트] 260105 - S1",120239321296750136
2025-12-29,2026-06-28,"S1-2 요즘 20대는 이 AI앱을 쓴다",6,3058,134,4.381949,2026-01-06,2026-01-12,따르릉통신,1405475181306250,"S1-2 요즘 20대는 이 AI앱을 쓴다",120239321561520136,120239321561530136,"[디파트] 260105 - S1",120239321296750136
2025-12-29,2026-06-28,"S1-3 2026년 갓생 루틴, 이 앱이면 돼요",1,2706,106,3.917221,2026-01-06,2026-01-12,따르릉통신,1405475181306250,"S1-3 2026년 갓생 루틴, 이 앱이면 돼요",120239321584590136,120239321584600136,"[디파트] 260105 - S1",120239321296750136
2025-12-29,2026-06-28,"S1-4 휴대폰 유지비용이 너무 많이 나온다면?",0,3133,73,2.330035,2026-01-06,2026-01-12,따르릉통신,1405475181306250,"S1-4 휴대폰 유지비용이 너무 많이 나온다면?",120239321588860136,120239321588870136,"[디파트] 260105 - S1",120239321296750136
2025-12-29,2026-06-28,"S1-5 휴대폰 바꾸기 전, 가장 먼저 해야 하는 건?",12,3348,116,3.464755,2026-01-06,2026-01-12,따르릉통신,1405475181306250,"S1-5 휴대폰 바꾸기 전, 가장 먼저 해야 하는 건?",120239321597950136,120239321597940136,"[디파트] 260105 - S1",120239321296750136
2025-12-29,2026-06-28,"S1-6 휴대폰, 왜 굳이 판매점에서 사냐고요?",4,2204,121,5.490018,2026-01-06,2026-01-12,따르릉통신,1405475181306250,"S1-6 휴대폰, 왜 굳이 판매점에서 사냐고요?",120239321608680136,120239321608690136,"[디파트] 260105 - S1",120239321296750136
2025-12-29,2026-06-28,"S1-7 K-출근시간 세계 1위, 아침마다 새는 데이터?",1,5447,132,2.423352,2026-01-06,2026-01-12,따르릉통신,1405475181306250,"S1-7 K-출근시간 세계 1위, 아침마다 새는 데이터?",120239321630250136,120239321630260136,"[디파트] 260105 - S1",120239321296750136
2025-12-29,2026-06-28,"S2-1 폰 느려졌을 때, 이것부터 확인해 보세요",8,3222,132,4.096834,2026-01-12,2026-01-19,따르릉통신,1405475181306250,"S2-1 폰 느려졌을 때, 이것부터 확인해 보세요",120239663602810136,120239663602720136,"[디파트] 260112 - S2",120239663602700136
2025-12-29,2026-06-28,"S2-7 보이스피싱, 이것만 설정해도 안심",5,3503,120,3.425635,2026-01-12,2026-01-19,따르릉통신,1405475181306250,"S2-7 보이스피싱, 이것만 설정해도 안심",120239663602790136,120239663602730136,"[디파트] 260112 - S2",120239663602700136
2025-12-29,2026-06-28,"S2-6 곧 출시 예정 갤럭시 S26, 어떻게 바뀔까?",4,5161,260,5.037783,2026-01-12,2026-01-19,따르릉통신,1405475181306250,"S2-6 곧 출시 예정 갤럭시 S26, 어떻게 바뀔까?",120239663602780136,120239663602740136,"[디파트] 260112 - S2",120239663602700136
2025-12-29,2026-06-28,"S2-3 휴대폰 사진 화질 높이는 TIP",5,5651,314,5.556539,2026-01-12,2026-01-19,따르릉통신,1405475181306250,"S2-3 휴대폰 사진 화질 높이는 TIP",120239663602820136,120239663602750136,"[디파트] 260112 - S2",120239663602700136
2025-12-29,2026-06-28,"S2-4 왜 내 데이터는 항상 부족할까?",1,2099,83,3.954264,2026-01-12,2026-01-19,따르릉통신,1405475181306250,"S2-4 왜 내 데이터는 항상 부족할까?",120239663602830136,120239663602760136,"[디파트] 260112 - S2",120239663602700136
2025-12-29,2026-06-28,"S2-2 앱 정리 못하는 사람의 심리",5,2882,128,4.44136,2026-01-12,2026-01-19,따르릉통신,1405475181306250,"S2-2 앱 정리 못하는 사람의 심리",120239663602710136,120239663602770136,"[디파트] 260112 - S2",120239663602700136
2025-12-29,2026-06-28,"S2-5 스마트폰, 몇 년 쓰고 바꾸는 게 좋을까?",9,6415,261,4.068589,2026-01-12,2026-01-19,따르릉통신,1405475181306250,"S2-5 스마트폰, 몇 년 쓰고 바꾸는 게 좋을까?",120239663602840136,120239663602800136,"[디파트] 260112 - S2",120239663602700136
2025-12-29,2026-06-28,"S3-1 아이폰 웃는 이모티콘 생성법",5,6720,203,3.020833,2026-01-19,2026-01-26,따르릉통신,1405475181306250,"S3-1 아이폰 웃는 이모티콘 생성법",120239919226750136,120239919226710136,"[디파트] 260119 - S3",120239919226610136
