"보고 시작","보고 종료","광고 이름","광고 ID","광고 세트 이름","광고 세트 ID","캠페인 이름","캠페인 ID","계정 ID","계정 이름","Instagram 프로필 방문","Instagram 팔로우",클릭(전체),CTR(전체),노출,시작,종료
2025-12-29,2026-06-29,"S20-3 여행 전 꼭 확인해야 할 체크리스트 5",120254804494370370,"S20-3 여행 전 꼭 확인해야 할 체크리스트 5",120254804494360370,"[디파트] 260526 - S20",120254804440660370,1622583648427159,캐치프로그,79,9,135,4.25599,3172,2026-05-26,2026-06-02
2025-12-29,2026-06-29,"S20-4 파리 간다고? 이건 꼭 하고오자",120254804501870370,"S20-4 파리 간다고? 이건 꼭 하고오자",120254804501860370,"[디파트] 260526 - S20",120254804440660370,1622583648427159,캐치프로그,250,4,274,4.506579,6080,2026-05-26,2026-06-02
2025-12-29,2026-06-29,"S20-6 해외여행 데이터, 이제 이렇게 쓰세요",120254804502790370,"S20-6 해외여행 데이터, 이제 이렇게 쓰세요",120254804502780370,"[디파트] 260526 - S20",120254804440660370,1622583648427159,캐치프로그,79,5,76,3.71275,2047,2026-05-26,2026-06-02
2025-12-29,2026-06-29,"S20-5 20대라면 꼭 가봐야 할 버킷리스트 여행지 5",120254804532930370,"S20-5 20대라면 꼭 가봐야 할 버킷리스트 여행지 5",120254804532940370,"[디파트] 260526 - S20",120254804440660370,1622583648427159,캐치프로그,160,8,164,3.636364,4510,2026-05-26,2026-06-02
2025-12-29,2026-06-29,"S21-2 상하이 도착 5분만에 카톡 되는 법",120255352512210370,"S21-2 상하이 도착 5분만에 카톡 되는 법",120255352512240370,"[디파트] 260601 - S21",120255352512180370,1622583648427159,캐치프로그,93,2,203,4.128534,4917,2026-06-01,2026-06-08
2025-12-29,2026-06-29,"S21-1 도쿄가는데 숙소 아직도 못 정했다면?",120255352804960370,"S21-1 도쿄가는데 숙소 아직도 못 정했다면?",120255352804950370,"[디파트] 260601 - S21",120255352512180370,1622583648427159,캐치프로그,133,4,144,2.895636,4973,2026-06-01,2026-06-08
2025-12-29,2026-06-29,"S21-4 요즘 여행 고수들은 홈화면만 봅니다",120255352815110370,"S21-4 요즘 여행 고수들은 홈화면만 봅니다",120255352815120370,"[디파트] 260601 - S21",120255352512180370,1622583648427159,캐치프로그,107,8,131,3.223425,4064,2026-06-01,2026-06-08
2025-12-29,2026-06-29,"S21-5 폼 미쳤다는 여행 어플 신기능;;",120255352826270370,"S21-5 폼 미쳤다는 여행 어플 신기능;;",120255352826260370,"[디파트] 260601 - S21",120255352512180370,1622583648427159,캐치프로그,85,24,88,4.07785,2158,2026-06-01,2026-06-08
2025-12-29,2026-06-29,"S21-3 같은 항공권, 언제 사냐에 따라 가격이 달라집니다",120255352836780370,"S21-3 같은 항공권, 언제 사냐에 따라 가격이 달라집니다",120255352836770370,"[디파트] 260601 - S21",120255352512180370,1622583648427159,캐치프로그,605,5,703,7.421092,9473,2026-06-01,2026-06-08
2025-12-29,2026-06-29,"S22-1 오사카 잼컨? 이건 꼭 하고오자!",120256047875100370,"S22-1 오사카 잼컨? 이건 꼭 하고오자!",120256047875150370,"[디파트] 260608 - S22",120256047875090370,1622583648427159,캐치프로그,265,6,320,5.117544,6253,2026-06-08,2026-06-15
2025-12-29,2026-06-29,"S22-4 직장인 패치 제대로 됐다는 여행앱",120256058261900370,"S22-4 직장인 패치 제대로 됐다는 여행앱",120256058261890370,"[디파트] 260608 - S22",120256047875090370,1622583648427159,캐치프로그,105,10,137,3.318798,4128,2026-06-08,2026-06-15
2025-12-29,2026-06-29,"S22-5 우정여행으로 딱인 해외여행지 5",120256058266390370,"S22-5 우정여행으로 딱인 해외여행지 5",120256058266400370,"[디파트] 260608 - S22",120256047875090370,1622583648427159,캐치프로그,250,9,300,4.823151,6220,2026-06-08,2026-06-15
2025-12-29,2026-06-29,"S22-2 혼자 가도 안전한 여행지 BEST 5",120256058286020370,"S22-2 혼자 가도 안전한 여행지 BEST 5",120256058285940370,"[디파트] 260608 - S22",120256047875090370,1622583648427159,캐치프로그,264,8,480,8.041548,5969,2026-06-08,2026-06-15
2025-12-29,2026-06-29,"S22-6 여행에 미친 사람이 정착한 단 하나의 여행앱",120256058289500370,"S22-6 여행에 미친 사람이 정착한 단 하나의 여행앱",120256058289510370,"[디파트] 260608 - S22",120256047875090370,1622583648427159,캐치프로그,200,48,216,7.280081,2967,2026-06-08,2026-06-15
2025-12-29,2026-06-29,"S22-3 2026 황금연휴 일정, 이렇게 써봐!",120256058292120370,"S22-3 2026 황금연휴 일정, 이렇게 써봐!",120256058292100370,"[디파트] 260608 - S22",120256047875090370,1622583648427159,캐치프로그,80,2,92,1.891059,4865,2026-06-08,2026-06-15
2025-12-29,2026-06-29,"S23-3 여름을 담은 일본 소도시 6",120256709234530370,"S23-3 여름을 담은 일본 소도시 6",120256709234600370,"[디파트] 260615 - S23",120256709234490370,1622583648427159,캐치프로그,196,21,366,8.361892,4377,2026-06-15,2026-06-22
2025-12-29,2026-06-29,"S23-1 유류할증료 내려갔다! 지금 봐야 할 여행지 6",120256709270740370,"S23-1 유류할증료 내려갔다! 지금 봐야 할 여행지 6",120256709270750370,"[디파트] 260615 - S23",120256709234490370,1622583648427159,캐치프로그,367,18,384,7.414559,5179,2026-06-15,2026-06-22
